id,prompt,llama_response,qwen_response,mistral_response,agreement_score
4615,Example prompt 4615,Water boils at 100°C.,Different answer,Alternative response,0.041
4616,Example prompt 4616,Water boils at 100°C.,Different answer,Alternative response,0.116
4617,Example prompt 4617,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.54
4618,Example prompt 4618,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.27
4619,Example prompt 4619,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.773
4620,Example prompt 4620,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.59
4621,Example prompt 4621,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.748
4622,Example prompt 4622,The Earth orbits the Sun.,Different answer,Alternative response,0.1
4623,Example prompt 4623,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.965
4624,Example prompt 4624,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.599
4625,Example prompt 4625,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.668
4626,Example prompt 4626,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.987
4627,Example prompt 4627,Water boils at 100°C.,Different answer,Alternative response,0.198
4628,Example prompt 4628,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.934
4629,Example prompt 4629,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.56
4630,Example prompt 4630,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.715
4631,Example prompt 4631,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.75
4632,Example prompt 4632,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.203
4633,Example prompt 4633,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.853
4634,Example prompt 4634,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.974
4635,Example prompt 4635,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.383
4636,Example prompt 4636,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.822
4637,Example prompt 4637,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.508
4638,Example prompt 4638,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.442
4639,Example prompt 4639,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.77
4640,Example prompt 4640,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.556
4641,Example prompt 4641,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.773
4642,Example prompt 4642,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.926
4643,Example prompt 4643,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.419
4644,Example prompt 4644,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.676
4645,Example prompt 4645,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.75
4646,Example prompt 4646,Paris is the capital of France.,Different answer,Alternative response,0.129
4647,Example prompt 4647,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.38
4648,Example prompt 4648,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.753
4649,Example prompt 4649,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.518
4650,Example prompt 4650,Paris is the capital of France.,Different answer,Alternative response,0.012
4651,Example prompt 4651,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.551
4652,Example prompt 4652,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.828
4653,Example prompt 4653,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.558
4654,Example prompt 4654,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.552
4655,Example prompt 4655,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.309
4656,Example prompt 4656,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.347
4657,Example prompt 4657,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.907
4658,Example prompt 4658,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.434
4659,Example prompt 4659,Water boils at 100°C.,Different answer,Alternative response,0.196
4660,Example prompt 4660,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.621
4661,Example prompt 4661,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.564
4662,Example prompt 4662,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.933
4663,Example prompt 4663,Paris is the capital of France.,Different answer,Alternative response,0.048
4664,Example prompt 4664,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.711
4665,Example prompt 4665,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.402
4666,Example prompt 4666,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.242
4667,Example prompt 4667,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.493
4668,Example prompt 4668,Water boils at 100°C.,Different answer,Alternative response,0.051
4669,Example prompt 4669,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.35
4670,Example prompt 4670,Water boils at 100°C.,Different answer,Alternative response,0.122
4671,Example prompt 4671,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.342
4672,Example prompt 4672,Water boils at 100°C.,Different answer,Alternative response,0.053
4673,Example prompt 4673,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.417
4674,Example prompt 4674,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.906
4675,Example prompt 4675,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.612
4676,Example prompt 4676,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.369
4677,Example prompt 4677,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.305
4678,Example prompt 4678,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.935
4679,Example prompt 4679,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.324
4680,Example prompt 4680,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.529
4681,Example prompt 4681,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.395
4682,Example prompt 4682,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.835
4683,Example prompt 4683,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.347
4684,Example prompt 4684,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.91
4685,Example prompt 4685,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.337
4686,Example prompt 4686,Paris is the capital of France.,Different answer,Alternative response,0.013
4687,Example prompt 4687,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.867
4688,Example prompt 4688,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.293
4689,Example prompt 4689,Water boils at 100°C.,Different answer,Alternative response,0.152
4690,Example prompt 4690,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.28
4691,Example prompt 4691,Paris is the capital of France.,Different answer,Alternative response,0.198
4692,Example prompt 4692,Paris is the capital of France.,Different answer,Alternative response,0.181
4693,Example prompt 4693,Paris is the capital of France.,Different answer,Alternative response,0.183
4694,Example prompt 4694,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.467
4695,Example prompt 4695,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.323
4696,Example prompt 4696,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.601
4697,Example prompt 4697,Paris is the capital of France.,Different answer,Alternative response,0.106
4698,Example prompt 4698,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.762
4699,Example prompt 4699,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.461
4700,Example prompt 4700,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.361
4701,Example prompt 4701,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.856
4702,Example prompt 4702,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.383
4703,Example prompt 4703,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.848
4704,Example prompt 4704,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.328
4705,Example prompt 4705,The Earth orbits the Sun.,Different answer,Alternative response,0.195
4706,Example prompt 4706,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.786
4707,Example prompt 4707,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.28
4708,Example prompt 4708,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.593
4709,Example prompt 4709,Paris is the capital of France.,Different answer,Alternative response,0.057
4710,Example prompt 4710,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.721
4711,Example prompt 4711,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.831
4712,Example prompt 4712,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.284
4713,Example prompt 4713,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.91
4714,Example prompt 4714,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.542
4715,Example prompt 4715,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.565
4716,Example prompt 4716,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.741
4717,Example prompt 4717,Water boils at 100°C.,Different answer,Alternative response,0.005
4718,Example prompt 4718,The Earth orbits the Sun.,Different answer,Alternative response,0.049
4719,Example prompt 4719,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.728
4720,Example prompt 4720,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.366
4721,Example prompt 4721,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.95
4722,Example prompt 4722,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.623
4723,Example prompt 4723,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.5
4724,Example prompt 4724,The Earth orbits the Sun.,Different answer,Alternative response,0.006
4725,Example prompt 4725,The Earth orbits the Sun.,Different answer,Alternative response,0.128
4726,Example prompt 4726,Water boils at 100°C.,Different answer,Alternative response,0.067
4727,Example prompt 4727,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.25
4728,Example prompt 4728,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.767
4729,Example prompt 4729,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.505
4730,Example prompt 4730,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.741
4731,Example prompt 4731,Paris is the capital of France.,Different answer,Alternative response,0.046
4732,Example prompt 4732,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.977
4733,Example prompt 4733,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.732
4734,Example prompt 4734,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.742
4735,Example prompt 4735,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.28
4736,Example prompt 4736,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.872
4737,Example prompt 4737,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.793
4738,Example prompt 4738,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.721
4739,Example prompt 4739,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.727
4740,Example prompt 4740,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.674
